name,dex,gen,region,type1,type2,color_primary,color_secondary,abilities,genus,shape,habitat,evo,family,stage,gender,legendary,mythical,baby,hp,attack,defense,sp_attack,sp_defense,speed,weight_kg,height_m,egg_groups,stat_standouts,arch,sprite,moves,lore,mythology,location,trainer,role,other,well_known
Kakuna,14,1,Kanto,bug,poison,yellow,,Shed Skin,Cocoon Pokémon,squiggle,forest,level,Weedle,1,both,False,False,False,45,25,50,25,25,35,10.0,0.6,bug,,"insect, pupa",cocoon,,,,,,,,0
Beedrill,15,1,Kanto,bug,poison,yellow,,"Swarm, Sniper",Poison Bee Pokémon,bug-wings,forest,level,Weedle,2,both,False,False,False,65,90,40,45,80,75,29.5,1.0,bug,,"insect, wasp","stingers, wings, lances",,,,,,mega,,1
Pidgey,16,1,Kanto,normal,flying,brown,,"Keen Eye, Tangled Feet, Big Pecks",Tiny Bird Pokémon,wings,forest,none,Pidgey,0,both,False,False,False,40,45,40,35,35,56,1.8,0.3,flying,light,bird,"beak, wings",,,,,,,,0
Pidgeotto,17,1,Kanto,normal,flying,brown,,"Keen Eye, Tangled Feet, Big Pecks",Bird Pokémon,wings,forest,level,Pidgey,1,both,False,False,False,63,60,55,50,50,71,30.0,1.1,flying,,"bird, raptor","crest, beak",,,,,,,,0
Pidgeot,18,1,Kanto,normal,flying,brown,,"Keen Eye, Tangled Feet, Big Pecks",Bird Pokémon,wings,forest,level,Pidgey,2,both,False,False,False,83,80,75,70,70,101,39.5,1.5,flying,fast,"bird, raptor","crest, wings",,,,,,mega,,1
Rattata,19,1,Kanto,normal,,purple,,"Run Away, Guts, Hustle",Mouse Pokémon,quadruped,grassland,none,Rattata,0,both,False,False,False,30,56,35,25,35,72,3.5,0.3,ground,,"rodent, rat","buck-teeth, whiskers, tail",,,,,,,,1
Raticate,20,1,Kanto,normal,,brown,,"Run Away, Guts, Hustle",Mouse Pokémon,quadruped,grassland,level,Rattata,1,both,False,False,False,55,81,60,50,70,97,18.5,0.7,ground,,"rodent, rat","buck-teeth, whiskers",,,,,,,,0
Spearow,21,1,Kanto,normal,flying,brown,,"Keen Eye, Sniper",Tiny Bird Pokémon,wings,rough-terrain,none,Spearow,0,both,False,False,False,40,60,30,31,31,70,2.0,0.3,flying,light,bird,"beak, wings",,,,,,,,0
Fearow,22,1,Kanto,normal,flying,brown,,"Keen Eye, Sniper",Beak Pokémon,wings,rough-terrain,level,Spearow,1,both,False,False,False,65,90,65,61,61,100,38.0,1.2,flying,fast,"bird, raptor","beak, long-neck",,,,,,,,0
Ekans,23,1,Kanto,poison,,purple,,"Intimidate, Shed Skin, Unnerve",Snake Pokémon,squiggle,grassland,none,Ekans,0,both,False,False,False,35,60,44,40,54,55,6.9,2.0,"ground, dragon",,"serpent, snake","coils, fangs, rattle",,,,,,,,0
Arbok,24,1,Kanto,poison,,purple,,"Intimidate, Shed Skin, Unnerve",Cobra Pokémon,squiggle,grassland,level,Ekans,1,both,False,False,False,60,95,69,65,79,80,65.0,3.5,"ground, dragon",,"serpent, snake, cobra","hood, fangs",,,,,,,,1
Pikachu,25,1,Kanto,electric,,yellow,,"Static, Lightning Rod",Mouse Pokémon,quadruped,forest,friendship,Pichu,1,both,False,False,False,35,55,40,50,50,90,6.0,0.4,"ground, fairy",,"rodent, mouse","cheeks, tail",,mascot,,,,gmax,,1
Raichu,26,1,Kanto,electric,,yellow,,"Static, Lightning Rod",Mouse Pokémon,upright,forest,stone,Pichu,2,both,False,False,False,60,90,55,90,80,110,30.0,0.8,"ground, fairy",fast,"rodent, mouse","cheeks, tail, bolt-tail",,,,,,,,1
Sandshrew,27,1,Kanto,ground,,yellow,,"Sand Veil, Sand Rush",Mouse Pokémon,upright,rough-terrain,none,Sandshrew,0,both,False,False,False,50,75,85,20,30,40,12.0,0.6,ground,,"pangolin, armadillo","curl, claws, burrow",,,,,,,,0
Sandslash,28,1,Kanto,ground,,yellow,,"Sand Veil, Sand Rush",Mouse Pokémon,upright,rough-terrain,stone,Sandshrew,1,both,False,False,False,75,100,110,45,55,65,29.5,1.0,ground,tanky,"pangolin, armadillo","spikes, spiky-ball, claws",,,,,,,,0
Nidoran♀,29,1,Kanto,poison,,blue,,"Poison Point, Rivalry, Hustle",Poison Pin Pokémon,quadruped,grassland,none,Nidoran♀,0,female-only,False,False,False,55,47,52,40,40,41,7.0,0.4,"monster, ground",,rodent,"ears, spines",,,,,,,,0
Nidorina,30,1,Kanto,poison,,blue,,"Poison Point, Rivalry, Hustle",Poison Pin Pokémon,quadruped,grassland,level,Nidoran♀,1,female-only,False,False,False,70,62,67,55,55,56,20.0,0.8,no-eggs,,rodent,"ears, spines",,,,,,,,0
Nidoqueen,31,1,Kanto,poison,ground,blue,,"Poison Point, Rivalry, Sheer Force",Drill Pokémon,upright,grassland,stone,Nidoran♀,2,female-only,False,False,False,90,92,87,75,85,76,60.0,1.3,no-eggs,,pachyderm,"spikes, scales, horn",,"queen, royalty",,,,,,1
Nidoran♂,32,1,Kanto,poison,,purple,,"Poison Point, Rivalry, Hustle",Poison Pin Pokémon,quadruped,grassland,none,Nidoran♂,0,male-only,False,False,False,46,57,40,40,40,50,9.0,0.5,"monster, ground",,rodent,"ears, horn",,,,,,,,0
Nidorino,33,1,Kanto,poison,,purple,,"Poison Point, Rivalry, Hustle",Poison Pin Pokémon,quadruped,grassland,level,Nidoran♂,1,male-only,False,False,False,61,72,57,55,55,65,19.5,0.9,"monster, ground",,rodent,"horn, spines",,,,,,,,0
Nidoking,34,1,Kanto,poison,ground,purple,,"Poison Point, Rivalry, Sheer Force",Drill Pokémon,upright,grassland,stone,Nidoran♂,2,male-only,False,False,False,81,102,77,85,75,85,62.0,1.4,"monster, ground",,pachyderm,"horn, spikes, tail",earthquake,"king, royalty",,,,,,1
Clefairy,35,1,Kanto,fairy,,pink,,"Cute Charm, Magic Guard, Friend Guard",Fairy Pokémon,upright,mountain,friendship,Cleffa,1,both,False,False,False,70,45,48,60,65,35,7.5,0.6,fairy,,,"wings, curl, moon, star",,,,,,,,1
Clefable,36,1,Kanto,fairy,,pink,,"Cute Charm, Magic Guard, Unaware",Fairy Pokémon,upright,mountain,stone,Cleffa,2,both,False,False,False,95,70,73,95,90,60,40.0,1.3,fairy,,,"wings, moon, moonstone",,,fairy-mythos,,,,,1
Vulpix,37,1,Kanto,fire,,brown,,"Flash Fire, Drought",Fox Pokémon,quadruped,grassland,none,Vulpix,0,both,False,False,False,38,41,40,50,65,65,9.9,0.6,ground,,"fox, canine","curls, tails",,,kitsune,,,,,1
Ninetales,38,1,Kanto,fire,,yellow,,"Flash Fire, Drought",Fox Pokémon,quadruped,grassland,stone,Vulpix,1,both,False,False,False,73,76,75,81,100,100,19.9,1.1,ground,fast,"fox, canine",nine-tails,,,"kitsune, mythical-lore",,,,,1
Jigglypuff,39,1,Kanto,normal,fairy,pink,,"Cute Charm, Competitive, Friend Guard",Balloon Pokémon,humanoid,grassland,friendship,Igglybuff,1,both,False,False,False,115,45,20,45,25,20,5.5,0.5,fairy,,,"balloon, round, sing",,mascot,,,,,,1
Wigglytuff,40,1,Kanto,normal,fairy,pink,,"Cute Charm, Competitive, Frisk",Balloon Pokémon,humanoid,grassland,stone,Igglybuff,2,both,False,False,False,140,70,45,85,50,45,12.0,1.0,fairy,,,"balloon, round, ears",,,,,,,,1
Zubat,41,1,Kanto,poison,flying,purple,,"Inner Focus, Infiltrator",Bat Pokémon,wings,cave,none,Zubat,0,both,False,False,False,40,45,35,30,40,55,7.5,0.8,flying,,"chiropteran, bat","wings, fangs, no-eyes",,,,,,,,1
Golbat,42,1,Kanto,poison,flying,purple,,"Inner Focus, Infiltrator",Bat Pokémon,wings,cave,level,Zubat,1,both,False,False,False,75,80,70,65,75,90,55.0,1.6,flying,,"chiropteran, bat","wings, fangs, big-mouth",,,,,,,,0
Oddish,43,1,Kanto,grass,poison,blue,,"Chlorophyll, Run Away",Weed Pokémon,legs,grassland,none,Oddish,0,both,False,False,False,45,50,55,75,65,30,5.4,0.5,plant,,,"leaves, bulb",,,,,,,,1
Gloom,44,1,Kanto,grass,poison,blue,,"Chlorophyll, Stench",Weed Pokémon,humanoid,grassland,level,Oddish,1,both,False,False,False,60,65,70,85,75,40,8.6,0.8,plant,,,"drool, flower",,,,,,,,0
Vileplume,45,1,Kanto,grass,poison,red,,"Chlorophyll, Effect Spore",Flower Pokémon,humanoid,grassland,stone,Oddish,2,both,False,False,False,75,80,85,110,90,50,18.6,1.2,plant,,,"petals, flower, rafflesia",,,,,,,,1
Paras,46,1,Kanto,bug,grass,red,,"Effect Spore, Dry Skin, Damp",Mushroom Pokémon,armor,forest,none,Paras,0,both,False,False,False,35,70,55,45,55,25,5.4,0.3,"bug, plant",,"insect, crab","mushroom, claws",,,,,,,,0
Parasect,47,1,Kanto,bug,grass,red,,"Effect Spore, Dry Skin, Damp",Mushroom Pokémon,armor,forest,level,Paras,1,both,False,False,False,60,95,80,60,80,30,29.5,1.0,"bug, plant",,"insect, crab","mushroom, fungus",,,,,,,,0
Venonat,48,1,Kanto,bug,poison,purple,,"Compound Eyes, Tinted Lens, Run Away",Insect Pokémon,humanoid,forest,none,Venonat,0,both,False,False,False,60,55,50,40,55,45,30.0,1.0,bug,,insect,"big-eyes, fuzzy",,,,,,,,0
Venomoth,49,1,Kanto,bug,poison,purple,,"Shield Dust, Tinted Lens, Wonder Skin",Poison Moth Pokémon,bug-wings,forest,level,Venonat,1,both,False,False,False,70,65,60,90,75,90,12.5,1.5,bug,,"insect, moth","wings, dust",,,,,,,,0
Diglett,50,1,Kanto,ground,,brown,,"Sand Veil, Arena Trap, Sand Force",Mole Pokémon,blob,cave,none,Diglett,0,both,False,False,False,10,55,25,35,45,95,0.8,0.2,ground,light,mole,"nose, burrow, dig",,,,,,,,1
Dugtrio,51,1,Kanto,ground,,brown,,"Sand Veil, Arena Trap, Sand Force",Mole Pokémon,heads,cave,level,Diglett,1,both,False,False,False,35,100,50,50,70,120,33.3,0.7,ground,fast,mole,"three-heads, trio, burrow",,,,,,,,1
Meowth,52,1,Kanto,normal,,yellow,,"Pickup, Technician, Unnerve",Scratch Cat Pokémon,quadruped,urban,none,Meowth,0,both,False,False,False,40,45,35,40,40,90,4.2,0.4,ground,,"feline, cat","coin, whiskers",,charm,,,,gmax,,1
Persian,53,1,Kanto,normal,,yellow,,"Limber, Technician, Unnerve",Classy Cat Pokémon,quadruped,urban,friendship,Meowth,1,both,False,False,False,65,70,60,65,65,115,32.0,1.0,ground,fast,"feline, cat","gem, whiskers, sleek",,,,,,,,1
Psyduck,54,1,Kanto,water,,yellow,,"Damp, Cloud Nine, Swift Swim",Duck Pokémon,upright,waters-edge,none,Psyduck,0,both,False,False,False,50,52,48,65,50,55,19.6,0.8,"water1, ground",,"duck, platypus","headache, bill",,,,,,,,1
Golduck,55,1,Kanto,water,,blue,,"Damp, Cloud Nine, Swift Swim",Duck Pokémon,upright,waters-edge,level,Psyduck,1,both,False,False,False,80,82,78,95,80,85,76.6,1.7,"water1, ground",,"platypus, duck","bill, forehead-gem, webbed",,,,,,,,1
Mankey,56,1,Kanto,fighting,,brown,,"Vital Spirit, Anger Point, Defiant",Pig Monkey Pokémon,upright,mountain,none,Mankey,0,both,False,False,False,40,80,35,35,45,70,28.0,0.5,ground,,"primate, monkey",fists,,angry,,,,,,1
Primeape,57,1,Kanto,fighting,,brown,,"Vital Spirit, Anger Point, Defiant",Pig Monkey Pokémon,upright,mountain,level,Mankey,1,both,False,False,False,65,105,60,60,70,95,32.0,1.0,ground,,"primate, monkey","furious, fists",,,,,,,,1
Growlithe,58,1,Kanto,fire,,brown,,"Intimidate, Flash Fire, Justified",Puppy Pokémon,quadruped,grassland,none,Growlithe,0,both,False,False,False,55,70,45,70,50,60,19.0,0.7,ground,,"canine, dog","pup, stripes",,loyal,,,,,,1
Arcanine,59,1,Kanto,fire,,brown,,"Intimidate, Flash Fire, Justified",Legendary Pokémon,quadruped,grassland,stone,Growlithe,1,both,False,False,False,90,110,80,100,80,95,155.0,1.9,ground,,"canine, dog","stripes, mane",,,legendary-lore,,,,,1
Poliwag,60,1,Kanto,water,,blue,,"Water Absorb, Damp, Swift Swim",Tadpole Pokémon,legs,waters-edge,none,Poliwag,0,both,False,False,False,40,50,40,40,40,90,12.4,0.6,water1,,"frog, tadpole","swirl, tail",,,,,,,,1
Poliwhirl,61,1,Kanto,water,,blue,,"Water Absorb, Damp, Swift Swim",Tadpole Pokémon,humanoid,waters-edge,level,Poliwag,1,both,False,False,False,65,65,65,50,50,90,20.0,1.0,water1,,frog,"swirl, gloves",,,,,,,,0
Poliwrath,62,1,Kanto,water,fighting,blue,,"Water Absorb, Damp, Swift Swim",Tadpole Pokémon,humanoid,waters-edge,stone,Poliwag,2,both,False,False,False,90,95,95,70,90,70,54.0,1.3,water1,,frog,"swirl, muscles",,,,,,,,0
Abra,63,1,Kanto,psychic,,brown,,"Synchronize, Inner Focus, Magic Guard",Psi Pokémon,upright,urban,none,Abra,0,both,False,False,False,25,20,15,105,55,90,19.5,0.9,humanshape,,,teleport,,sleep,,,,,,1
Kadabra,64,1,Kanto,psychic,,brown,,"Synchronize, Inner Focus, Magic Guard",Psi Pokémon,upright,urban,level,Abra,1,both,False,False,False,40,35,30,120,70,105,56.5,1.3,humanshape,"fast, spatk",,"spoon, psychic-power, whiskers",,,,,,,,1
Alakazam,65,1,Kanto,psychic,,brown,,"Synchronize, Inner Focus, Magic Guard",Psi Pokémon,humanoid,urban,trade,Abra,2,both,False,False,False,55,50,45,135,95,120,48.0,1.5,humanshape,"fast, spatk",,"spoons, genius, psychic-power",,,,,,mega,,1
Machop,66,1,Kanto,fighting,,gray,,"Guts, No Guard, Steadfast",Superpower Pokémon,upright,mountain,none,Machop,0,both,False,False,False,70,80,50,35,35,35,19.5,0.8,humanshape,,primate,"muscle, tail",,,,,,,,1
Machoke,67,1,Kanto,fighting,,gray,,"Guts, No Guard, Steadfast",Superpower Pokémon,humanoid,mountain,level,Machop,1,both,False,False,False,80,100,70,50,60,45,70.5,1.5,humanshape,,primate,"muscle, belt",,,,,,,,0
Machamp,68,1,Kanto,fighting,,gray,,"Guts, No Guard, Steadfast",Superpower Pokémon,humanoid,mountain,trade,Machop,2,both,False,False,False,90,130,80,65,85,55,130.0,1.6,humanshape,atk,primate,"four-arms, muscle",submission,,,,,gmax,,1
Bellsprout,69,1,Kanto,grass,poison,green,,"Chlorophyll, Gluttony",Flower Pokémon,humanoid,forest,none,Bellsprout,0,both,False,False,False,50,75,35,70,30,40,4.0,0.7,plant,,plant,"pitcher, vine",,,,,,,,0
Weepinbell,70,1,Kanto,grass,poison,green,,"Chlorophyll, Gluttony",Flycatcher Pokémon,blob,forest,level,Bellsprout,1,both,False,False,False,65,90,50,85,45,55,6.4,1.0,plant,,plant,"pitcher, bell",,,,,,,,0
Victreebel,71,1,Kanto,grass,poison,green,,"Chlorophyll, Gluttony",Flycatcher Pokémon,blob,forest,stone,Bellsprout,2,both,False,False,False,80,105,65,100,70,70,15.5,1.7,plant,,plant,"pitcher, venus-flytrap, vine",,,,,,,,1
Tentacool,72,1,Kanto,water,poison,blue,,"Clear Body, Liquid Ooze, Rain Dish",Jellyfish Pokémon,tentacles,sea,none,Tentacool,0,both,False,False,False,40,40,35,50,100,70,45.5,0.9,water3,,"cnidarian, jellyfish","jelly, tentacles",,,,,,,,0
Tentacruel,73,1,Kanto,water,poison,blue,,"Clear Body, Liquid Ooze, Rain Dish",Jellyfish Pokémon,tentacles,sea,level,Tentacool,1,both,False,False,False,80,70,65,80,120,100,55.0,1.6,water3,fast,"cnidarian, jellyfish","jewels, tentacles",,,,,,,,1
Geodude,74,1,Kanto,rock,ground,brown,,"Rock Head, Sturdy, Sand Veil",Rock Pokémon,arms,mountain,none,Geodude,0,both,False,False,False,40,80,100,30,30,20,20.0,0.4,mineral,,,"boulder, fists, rock",,,,,,,,1
Graveler,75,1,Kanto,rock,ground,brown,,"Rock Head, Sturdy, Sand Veil",Rock Pokémon,humanoid,mountain,level,Geodude,1,both,False,False,False,55,95,115,45,45,35,105.0,1.0,mineral,tanky,,"boulder, four-arms, rock",,,,,,,,0
Golem,76,1,Kanto,rock,ground,brown,,"Rock Head, Sturdy, Sand Veil",Megaton Pokémon,humanoid,mountain,trade,Geodude,2,both,False,False,False,80,120,130,55,65,45,300.0,1.4,mineral,"atk, tanky, heavy",,"boulder, shell",earthquake,,golem-mythos,,,,,1
Ponyta,77,1,Kanto,fire,,yellow,,"Run Away, Flash Fire, Flame Body",Fire Horse Pokémon,quadruped,grassland,none,Ponyta,0,both,False,False,False,50,85,55,65,65,90,30.0,1.0,ground,,"equine, horse","mane-fire, hooves",,,,,,,,1
Rapidash,78,1,Kanto,fire,,yellow,,"Run Away, Flash Fire, Flame Body",Fire Horse Pokémon,quadruped,grassland,level,Ponyta,1,both,False,False,False,65,100,70,80,80,105,95.0,1.7,ground,fast,"equine, horse, unicorn","blaze-mane, horn, hooves",,,,,,,,1
Slowpoke,79,1,Kanto,water,psychic,pink,,"Oblivious, Own Tempo, Regenerator",Dopey Pokémon,quadruped,waters-edge,none,Slowpoke,0,both,False,False,False,90,65,65,40,40,15,36.0,1.2,"monster, water1",,,"tail, dopey",,,,,,,,1
Slowbro,80,1,Kanto,water,psychic,pink,,"Oblivious, Own Tempo, Regenerator",Hermit Crab Pokémon,upright,waters-edge,stone,Slowpoke,1,both,False,False,False,95,75,110,100,80,30,78.5,1.6,"monster, water1",tanky,,shell-tail,,,,,,mega,,1
Magnemite,81,1,Kanto,electric,steel,gray,,"Magnet Pull, Sturdy, Analytic",Magnet Pokémon,arms,rough-terrain,none,Magnemite,0,genderless,False,False,False,25,35,70,95,55,45,6.0,0.3,mineral,,,"magnet, screw, float",,,,,,,,1
Magneton,82,1,Kanto,electric,steel,gray,,"Magnet Pull, Sturdy, Analytic",Magnet Pokémon,heads,rough-terrain,level,Magnemite,1,genderless,False,False,False,50,60,95,120,70,70,60.0,1.0,mineral,spatk,,"magnets, three, cluster",,,,,,,,1
Farfetch'd,83,1,Kanto,normal,flying,brown,,"Keen Eye, Inner Focus, Defiant",Wild Duck Pokémon,wings,grassland,none,Farfetch'd,0,both,False,False,False,52,90,55,58,62,60,15.0,0.8,"flying, ground",,"bird, duck",leek,,wields,,,,,,1
Doduo,84,1,Kanto,normal,flying,brown,,"Run Away, Early Bird, Tangled Feet",Twin Bird Pokémon,legs,grassland,none,Doduo,0,both,False,False,False,35,85,45,35,35,75,39.2,1.4,flying,,"bird, ratite","two-heads, beak",,,,,,,,0
Dodrio,85,1,Kanto,normal,flying,brown,,"Run Away, Early Bird, Tangled Feet",Triple Bird Pokémon,legs,grassland,level,Doduo,1,both,False,False,False,60,110,70,60,60,110,85.2,1.8,flying,fast,"bird, ratite","three-heads, beak",,,,,,,,1
Seel,86,1,Kanto,water,,white,,"Thick Fat, Hydration, Ice Body",Sea Lion Pokémon,fish,sea,none,Seel,0,both,False,False,False,65,45,55,45,70,45,90.0,1.1,"water1, ground",,"pinniped, seal","tusk, horn",,,,,,,,0
Dewgong,87,1,Kanto,water,ice,white,,"Thick Fat, Hydration, Ice Body",Sea Lion Pokémon,fish,sea,level,Seel,1,both,False,False,False,90,70,80,70,95,70,120.0,1.7,"water1, ground",,"pinniped, seal","sleek, tusk, dugong",,,,,,,,0
Grimer,88,1,Kanto,poison,,purple,,"Stench, Sticky Hold, Poison Touch",Sludge Pokémon,arms,urban,none,Grimer,0,both,False,False,False,80,80,50,40,50,25,30.0,0.9,indeterminate,,,"ooze, sludge",,,,,,,,1
Muk,89,1,Kanto,poison,,purple,,"Stench, Sticky Hold, Poison Touch",Sludge Pokémon,arms,urban,level,Grimer,1,both,False,False,False,105,105,75,65,100,50,30.0,1.2,indeterminate,,,"sludge, toxic",,,,,,gmax,,1
Shellder,90,1,Kanto,water,,purple,,"Shell Armor, Skill Link, Overcoat",Bivalve Pokémon,ball,sea,none,Shellder,0,both,False,False,False,30,65,100,45,25,40,4.0,0.3,water3,,"mollusc, clam","clam, pearl, tongue",,,,,,,,1
Cloyster,91,1,Kanto,water,ice,purple,,"Shell Armor, Skill Link, Overcoat",Bivalve Pokémon,ball,sea,stone,Shellder,1,both,False,False,False,50,95,180,85,45,70,132.5,1.5,water3,tanky,"mollusc, bivalve","shell, spikes, pearl",,,,,,,,1
Gastly,92,1,Kanto,ghost,poison,purple,,Levitate,Gas Pokémon,ball,cave,none,Gastly,0,both,False,False,False,30,35,30,100,35,80,0.1,1.3,indeterminate,light,,"gas, vapour",,,ghost-lore,,,,,1
Haunter,93,1,Kanto,ghost,poison,purple,,Levitate,Gas Pokémon,arms,cave,level,Gastly,1,both,False,False,False,45,50,45,115,55,95,0.1,1.6,indeterminate,light,,"hands, tongue",,,ghost-lore,,,,,1
Gengar,94,1,Kanto,ghost,poison,purple,,Cursed Body,Shadow Pokémon,upright,cave,trade,Gastly,2,both,False,False,False,60,65,60,130,75,110,40.5,1.5,indeterminate,"fast, spatk",,"grin, shadow",,,ghost-lore,,,"mega, gmax",,1
Onix,95,1,Kanto,rock,ground,gray,,"Rock Head, Sturdy, Weak Armor",Rock Snake Pokémon,squiggle,cave,none,Onix,0,both,False,False,False,35,45,160,30,45,70,210.0,8.8,mineral,tanky,serpent,"rock-snake, boulder-body, long",,,,,,,,1
Drowzee,96,1,Kanto,psychic,,yellow,,"Insomnia, Forewarn, Inner Focus",Hypnosis Pokémon,humanoid,grassland,none,Drowzee,0,both,False,False,False,60,48,45,43,90,42,32.4,1.0,humanshape,,tapir,"pendulum, dreams",,,baku-mythos,,,,,1
Hypno,97,1,Kanto,psychic,,yellow,,"Insomnia, Forewarn, Inner Focus",Hypnosis Pokémon,humanoid,grassland,level,Drowzee,1,both,False,False,False,85,73,70,73,115,67,75.6,1.6,humanshape,,tapir,"pendulum, hypnosis",,sleep,,,,,,1
Krabby,98,1,Kanto,water,,red,,"Hyper Cutter, Shell Armor, Sheer Force",River Crab Pokémon,armor,waters-edge,none,Krabby,0,both,False,False,False,30,105,90,25,25,50,6.5,0.4,water3,,"crustacean, crab","pincers, claws",,,,,,,,0
Kingler,99,1,Kanto,water,,red,,"Hyper Cutter, Shell Armor, Sheer Force",Pincer Pokémon,armor,waters-edge,level,Krabby,1,both,False,False,False,55,130,115,50,50,75,60.0,1.3,water3,"atk, tanky","crustacean, crab","big-claw, pincers",,,,,,gmax,,1
Voltorb,100,1,Kanto,electric,,red,,"Soundproof, Static, Aftermath",Ball Pokémon,ball,urban,none,Voltorb,0,genderless,False,False,False,40,30,50,55,55,100,10.4,0.5,mineral,fast,,"ball, poke-ball, self-destruct",,,,,,,,1
Electrode,101,1,Kanto,electric,,red,,"Soundproof, Static, Aftermath",Ball Pokémon,ball,urban,stone,Voltorb,1,genderless,False,False,False,60,50,70,80,80,150,66.6,1.2,mineral,fast,,"sphere, ball, explode",,,,,,,,1
Exeggcute,102,1,Kanto,grass,psychic,pink,,"Chlorophyll, Harvest",Egg Pokémon,heads,forest,none,Exeggcute,0,both,False,False,False,60,40,80,60,45,40,2.5,0.4,plant,light,,"six, eggs, seeds",,,,,,,,1
Exeggutor,103,1,Kanto,grass,psychic,yellow,,"Chlorophyll, Harvest",Coconut Pokémon,legs,forest,stone,Exeggcute,1,both,False,False,False,95,95,85,125,75,55,120.0,2.0,plant,spatk,,"palm, three-heads, coconut",,,,,,,,1
Cubone,104,1,Kanto,ground,,brown,,"Rock Head, Lightning Rod, Battle Armor",Lonely Pokémon,upright,mountain,none,Cubone,0,both,False,False,False,50,50,95,40,50,35,6.5,0.4,monster,,,"skull, bone-club",,"orphan, wields",,,,,,1
Marowak,105,1,Kanto,ground,,brown,,"Rock Head, Lightning Rod, Battle Armor",Bone Keeper Pokémon,upright,mountain,level,Cubone,1,both,False,False,False,60,80,110,50,80,45,45.0,1.0,monster,tanky,,"bone-club, skull",earthquake,wields,,,,,,1
Hitmonlee,106,1,Kanto,fighting,,brown,,"Limber, Reckless, Unburden",Kicking Pokémon,humanoid,urban,level,Tyrogue,1,male-only,False,False,False,50,120,53,35,110,87,49.8,1.5,humanshape,atk,,"kick, legs",,siblings,,,,,,1
